dataset,ours_upset_simple,ours_upset_ratio,ours_upset_naive,ours_runtime_sec,best_classical_upset_simple,best_classical_upset_ratio,best_classical_upset_naive,best_classical_runtime_sec,best_gnn_upset_simple,best_gnn_upset_ratio,best_gnn_upset_naive,best_gnn_runtime_sec
Basketball_temporal/finer1987,1.2074573040008545,0.1439057141542434,0.3018643260002136,3.1295514822006227,0.8187227249145508,0.0054612755775451,0.2046806812286377,0.0574530839920044,1.0000872588157654,0.0059337805584073,0.2500277650356293,16.513554048538207
Basketball_temporal/finer1988,1.1746280193328855,0.1383392959833145,0.2936570048332214,3.203778052330017,0.775254487991333,0.0057956124655902,0.1938136219978332,0.0573367595672607,0.9509475302696228,0.0065823751501739,0.2377368825674057,17.252944660186767
Basketball_temporal/finer1989,1.1558245420455933,0.1300163269042968,0.2889561355113983,3.3781469583511354,0.7670196890830994,0.005807067733258,0.1917549222707748,0.0574061155319213,1.020998486280441,0.0065395171102136,0.2552496215701103,17.254435110092164
Basketball_temporal/finer1990,1.156662940979004,0.1370137333869934,0.289165735244751,3.424498724937439,0.7882219552993774,0.0056528658606112,0.1970554888248443,0.1151384115219116,0.9855417215824128,0.0064430458098649,0.2464024177193641,17.690969634056092
Basketball_temporal/finer1991,1.1434943675994873,0.142167717218399,0.2858735918998718,3.493023610115052,0.8104089498519897,0.0061845015734434,0.2026022374629974,0.05640709400177,0.999018589258194,0.0069325266685336,0.2497546473145485,17.085911893844603
Basketball_temporal/finer1992,1.1098779439926147,0.1278672218322754,0.2774694859981537,3.54125816822052,0.7266000509262085,0.00690752081573,0.1816500127315521,0.0639534711837768,0.975538296699524,0.007797764390707,0.243884574174881,15.63134970664978
Basketball_temporal/finer1993,1.1540266275405884,0.1383193880319595,0.2885066568851471,3.204223799705505,0.753713846206665,0.0061536272987723,0.1884284615516662,0.0586988925933837,0.9762939727306366,0.0066628457792103,0.2440734931826591,16.864541673660277
Basketball_temporal/finer1994,1.1509796380996704,0.1433455348014831,0.2877449095249176,3.288876008987427,0.7376104593276978,0.0063652861863374,0.1844026148319244,0.0571654319763183,0.9612908232212066,0.0068692163471132,0.2403227058053016,16.60767266750336
Basketball_temporal/finer1995,1.1868629455566406,0.1420568525791168,0.2967157363891601,3.403155565261841,0.7867119908332825,0.0067614680156111,0.1966779977083206,0.0564072847366333,0.9919214832782746,0.0073519369587302,0.2479803708195686,17.051895213127136
Basketball_temporal/finer1996,1.211277961730957,0.139392077922821,0.3028194904327392,3.617706561088562,0.8055657148361206,0.0068123154342174,0.2013914287090301,0.0723757266998291,1.0872574198246,0.0076961076352745,0.2718198475241661,17.32229874134064
Basketball_temporal/finer1997,1.2219842672348022,0.150073692202568,0.3054960668087005,3.7613341331481935,0.8251249194145203,0.0373322144150733,0.20628122985363,0.0570473909378051,1.049279090166092,0.0084948430769145,0.262319772541523,17.044943737983704
Basketball_temporal/finer1998,1.1994342803955078,0.1325544863939285,0.2998585700988769,3.840989851951599,0.7835926413536072,0.0070149539969861,0.1958981603384018,0.064402961730957,1.0372277295589447,0.0080539138708263,0.2593069323897362,17.409877848625182
Basketball_temporal/finer1999,1.1959763765335083,0.1359582990407943,0.2989940941333771,3.981062412261963,0.8102670907974243,0.0076505006290972,0.202566772699356,0.0648465394973754,1.0729101610183716,0.0088031170982867,0.2682275402545929,17.208420586585998
Basketball_temporal/finer2000,1.181294083595276,0.1482749432325363,0.2953235208988189,4.6558181047439575,0.8443305492401123,0.0071133780293166,0.211082637310028,0.0571120738983154,1.0692120373249054,0.0082484285905957,0.2673030093312263,18.007598638534546
Basketball_temporal/finer2001,1.1980230808258057,0.1305818706750869,0.2995057702064514,4.38609664440155,0.8052718043327332,0.0067178779281675,0.2013179510831833,0.0647168159484863,1.0508072459697724,0.0079692173190414,0.2627018114924431,17.874332118034364
Basketball_temporal/finer2002,1.1793036460876465,0.1341521292924881,0.2948259115219116,4.487434029579163,0.8682069778442383,0.0070213675498962,0.2170517444610595,0.0578293561935424,1.0452326714992524,0.0079206320177763,0.2613081678748131,17.954324698448183
Basketball_temporal/finer2003,1.217721462249756,0.1400152891874313,0.3044303655624389,4.760879397392273,0.8658227920532227,0.0070780669339001,0.2164556980133056,0.0659023761749267,1.0513291192054748,0.007897521527484,0.2628417736291885,18.22600359916687
Basketball_temporal/finer2004,1.2068965435028076,0.1346354037523269,0.3017241358757019,4.684545016288757,0.7726691961288452,0.006989387795329,0.1931672990322113,0.0663400888442993,1.0248084223270415,0.008234759774059,0.2562068948149681,18.202418994903564
Basketball_temporal/finer2005,1.233540415763855,0.1479440033435821,0.3083851039409637,4.879278516769409,0.8422360420227051,0.007558265235275,0.2105590105056762,0.0784100770950317,1.0149565303325654,0.0084194085840135,0.2537391325831413,18.339074897766118
Basketball_temporal/finer2006,1.2224231958389282,0.1386067420244217,0.305605798959732,5.188968896865845,0.8511151075363159,0.5113713145256042,0.2127787768840789,0.0031869649887084,1.071440625190735,0.0082123753428459,0.2678601562976837,18.52801232337952
