dataset,family,config,is_finance,status,terminal_classification,n,m,density,density_regime,m_times_n,m_squared,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,break_reason
Basketball_temporal/1995,Basketball_coarse,A0,false,complete,SUCCESS,302,3182,0.03500473036896878,sparse_<0.05,960964.0,10125124.0,0.13817214965820312,0.11198067665100098,2.384185791015625e-06,0.00104522705078125,0.0,phase_b_disabled
Basketball_temporal/1995,Basketball_coarse,A2,false,complete,SUCCESS,302,3182,0.03500473036896878,sparse_<0.05,960964.0,10125124.0,0.3031046390533447,0.11182975769042969,0.052152395248413086,0.0012421607971191406,0.0,exhausted
Basketball_temporal/1995,Basketball_coarse,A4,false,complete,SUCCESS,302,3182,0.03500473036896878,sparse_<0.05,960964.0,10125124.0,0.4095480442047119,0.11157464981079102,0.05199575424194336,0.1069328784942627,0.0,exhausted
Basketball_temporal/1995,Basketball_coarse,A6,false,complete,SUCCESS,302,3182,0.03500473036896878,sparse_<0.05,960964.0,10125124.0,2.9083709716796875,0.1111762523651123,0.05198407173156738,0.23844408988952637,2.367309331893921,exhausted
Basketball_temporal/1996,Basketball_coarse,A0,false,complete,SUCCESS,305,3256,0.03511647972389991,sparse_<0.05,993080.0,10601536.0,0.13692855834960938,0.11014318466186523,1.9073486328125e-06,0.0010671615600585938,0.0,phase_b_disabled
Basketball_temporal/1996,Basketball_coarse,A2,false,complete,SUCCESS,305,3256,0.03511647972389991,sparse_<0.05,993080.0,10601536.0,0.3039257526397705,0.11030006408691406,0.05557107925415039,0.0012805461883544922,0.0,exhausted
Basketball_temporal/1996,Basketball_coarse,A4,false,complete,SUCCESS,305,3256,0.03511647972389991,sparse_<0.05,993080.0,10601536.0,0.4154398441314697,0.1111900806427002,0.05550980567932129,0.11111974716186523,0.0,exhausted
Basketball_temporal/1996,Basketball_coarse,A6,false,complete,SUCCESS,305,3256,0.03511647972389991,sparse_<0.05,993080.0,10601536.0,3.1968910694122314,0.10981917381286621,0.05536460876464844,0.1096048355102539,2.783759832382202,exhausted
Basketball_temporal/1997,Basketball_coarse,A0,false,complete,SUCCESS,305,3333,0.035946937014667814,sparse_<0.05,1016565.0,11108889.0,0.1657121181488037,0.1387956142425537,1.6689300537109375e-06,0.001111745834350586,0.0,phase_b_disabled
Basketball_temporal/1997,Basketball_coarse,A2,false,complete,SUCCESS,305,3333,0.035946937014667814,sparse_<0.05,1016565.0,11108889.0,0.3663942813873291,0.13890576362609863,0.05766034126281738,0.0013613700866699219,0.0,exhausted
Basketball_temporal/1997,Basketball_coarse,A4,false,complete,SUCCESS,305,3333,0.035946937014667814,sparse_<0.05,1016565.0,11108889.0,0.482025146484375,0.13983726501464844,0.05856180191040039,0.11539173126220703,0.0,exhausted
Basketball_temporal/1997,Basketball_coarse,A6,false,complete,SUCCESS,305,3333,0.035946937014667814,sparse_<0.05,1016565.0,11108889.0,2.6773314476013184,0.13822340965270996,0.05726170539855957,0.1122586727142334,2.2030887603759766,exhausted
Basketball_temporal/1998,Basketball_coarse,A0,false,complete,SUCCESS,306,3321,0.035583413693346194,sparse_<0.05,1016226.0,11029041.0,0.14350605010986328,0.11602902412414551,1.9073486328125e-06,0.001110076904296875,0.0,phase_b_disabled
Basketball_temporal/1998,Basketball_coarse,A2,false,complete,SUCCESS,306,3321,0.035583413693346194,sparse_<0.05,1016226.0,11029041.0,0.3155393600463867,0.11683058738708496,0.05517983436584473,0.0012927055358886719,0.0,exhausted
Basketball_temporal/1998,Basketball_coarse,A4,false,complete,SUCCESS,306,3321,0.035583413693346194,sparse_<0.05,1016226.0,11029041.0,0.4201779365539551,0.11514735221862793,0.05466318130493164,0.10738277435302734,0.0,exhausted
Basketball_temporal/1998,Basketball_coarse,A6,false,complete,SUCCESS,306,3321,0.035583413693346194,sparse_<0.05,1016226.0,11029041.0,4.952137470245361,0.11429786682128906,0.054280757904052734,0.1058812141418457,4.533466815948486,exhausted
Basketball_temporal/1999,Basketball_coarse,A0,false,complete,SUCCESS,310,3385,0.03533771792462679,sparse_<0.05,1049350.0,11458225.0,0.14032602310180664,0.11287236213684082,1.9073486328125e-06,0.0010941028594970703,0.0,phase_b_disabled
Basketball_temporal/1999,Basketball_coarse,A2,false,complete,SUCCESS,310,3385,0.03533771792462679,sparse_<0.05,1049350.0,11458225.0,0.316089391708374,0.11249041557312012,0.061411380767822266,0.0013248920440673828,0.0,exhausted
Basketball_temporal/1999,Basketball_coarse,A4,false,complete,SUCCESS,310,3385,0.03533771792462679,sparse_<0.05,1049350.0,11458225.0,0.42891526222229004,0.11357522010803223,0.0617365837097168,0.11292362213134766,0.0,exhausted
Basketball_temporal/1999,Basketball_coarse,A6,false,complete,SUCCESS,310,3385,0.03533771792462679,sparse_<0.05,1049350.0,11458225.0,2.828864812850952,0.1120297908782959,0.06127738952636719,0.11110305786132812,2.3994288444519043,exhausted
Basketball_temporal/2000,Basketball_coarse,A0,false,complete,SUCCESS,318,3475,0.03447215443525187,sparse_<0.05,1105050.0,12075625.0,0.15813088417053223,0.13036155700683594,1.9073486328125e-06,0.0011837482452392578,0.0,phase_b_disabled
Basketball_temporal/2000,Basketball_coarse,A2,false,complete,SUCCESS,318,3475,0.03447215443525187,sparse_<0.05,1105050.0,12075625.0,0.390744686126709,0.13935399055480957,0.07037973403930664,0.002862691879272461,0.0,exhausted
Basketball_temporal/2000,Basketball_coarse,A4,false,complete,SUCCESS,318,3475,0.03447215443525187,sparse_<0.05,1105050.0,12075625.0,0.4833829402923584,0.13577985763549805,0.06257152557373047,0.11835289001464844,0.0,exhausted
Basketball_temporal/2000,Basketball_coarse,A6,false,complete,SUCCESS,318,3475,0.03447215443525187,sparse_<0.05,1105050.0,12075625.0,6.186859369277954,0.13025259971618652,0.060278892517089844,0.11444759368896484,5.7223052978515625,exhausted
Basketball_temporal/2001,Basketball_coarse,A0,false,complete,SUCCESS,318,3405,0.033777751324325936,sparse_<0.05,1082790.0,11594025.0,0.15309739112854004,0.12500309944152832,1.9073486328125e-06,0.0011539459228515625,0.0,phase_b_disabled
Basketball_temporal/2001,Basketball_coarse,A2,false,complete,SUCCESS,318,3405,0.033777751324325936,sparse_<0.05,1082790.0,11594025.0,0.34054994583129883,0.12471389770507812,0.06093764305114746,0.0013675689697265625,0.0,exhausted
