dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/1991,Basketball_coarse,R2_A4,712779aad638f619,1787631078.3300698,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.45049485269184525,5305.0,0.09680618009915831,0.44561767578125,0.13153815269470215,0.04695725440979004,0.10960769653320312,0.0,875,[411],exhausted,
Basketball_temporal/1991,Basketball_coarse,R3_A4,712779aad638f619,1787631093.613514,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.44974687369358995,5305.0,0.09680618009915831,0.515587329864502,0.13159799575805664,0.047069549560546875,0.17897796630859375,0.0,875,[411],exhausted,
Basketball_temporal/1993,Basketball_coarse,R0_A4,712779aad638f619,1787631055.646939,complete,298,3088,0.03489028992384697,48535.0,1095,5035.0,710,5035.0,0.10373956938291955,385,0,0,0.0,0.10373956938291955,0.49449650937971307,5035.0,0.09276207262784444,0.2775137424468994,0.09997892379760742,0.05124831199645996,0.0011928081512451172,0.0,795,[385],exhausted,
Basketball_temporal/1993,Basketball_coarse,R1_A4,712779aad638f619,1787631068.4622293,complete,298,3088,0.03489028992384697,48535.0,1095,5035.0,710,5035.0,0.10373956938291955,385,0,0,0.0,0.10373956938291955,0.48887501229817915,5035.0,0.09276207262784444,0.34334635734558105,0.10006880760192871,0.05136990547180176,0.06659364700317383,0.0,795,[385],exhausted,
Basketball_temporal/1993,Basketball_coarse,R2_A4,712779aad638f619,1787631082.9133573,complete,298,3088,0.03489028992384697,48535.0,1095,5035.0,710,5035.0,0.10373956938291955,385,0,0,0.0,0.10373956938291955,0.48807612884221246,5035.0,0.09276207262784444,0.3821842670440674,0.09969472885131836,0.05114173889160156,0.10523438453674316,0.0,795,[385],exhausted,
Basketball_temporal/1993,Basketball_coarse,R3_A4,712779aad638f619,1787631098.861899,complete,298,3088,0.03489028992384697,48535.0,1095,5035.0,710,5035.0,0.10373956938291955,385,0,0,0.0,0.10373956938291955,0.48719660764618306,5035.0,0.09276207262784444,0.4552040100097656,0.10016489028930664,0.05130171775817871,0.17827320098876953,0.0,795,[385],exhausted,
Basketball_temporal/1994,Basketball_coarse,R0_A4,712779aad638f619,1787631052.4712665,complete,301,3144,0.03481727574750831,51068.0,1099,5093.0,705,5093.0,0.0997297720686144,394,0,0,0.0,0.0997297720686144,0.4650117971288989,5093.0,0.11362126245847176,0.27994537353515625,0.10030364990234375,0.05204892158508301,0.0012271404266357422,0.0,849,[394],exhausted,
Basketball_temporal/1994,Basketball_coarse,R1_A4,712779aad638f619,1787631064.6923707,complete,301,3144,0.03481727574750831,51068.0,1099,5093.0,705,5093.0,0.0997297720686144,394,0,0,0.0,0.09959269992950576,0.45906948081511106,5086.0,0.11364341085271318,0.34639716148376465,0.10054183006286621,0.05190134048461914,0.06744980812072754,0.0,849,[394],exhausted,
Basketball_temporal/1994,Basketball_coarse,R2_A4,712779aad638f619,1787631078.7823405,complete,301,3144,0.03481727574750831,51068.0,1099,5093.0,705,5093.0,0.0997297720686144,394,0,0,0.0,0.09959269992950576,0.45838042296032355,5086.0,0.11364341085271318,0.3902764320373535,0.10065746307373047,0.0518341064453125,0.11122488975524902,0.0,849,[394],exhausted,
Basketball_temporal/1994,Basketball_coarse,R3_A4,712779aad638f619,1787631094.136118,complete,301,3144,0.03481727574750831,51068.0,1099,5093.0,705,5093.0,0.0997297720686144,394,0,0,0.0,0.09959269992950576,0.45754685436339254,5086.0,0.11364341085271318,0.4640846252441406,0.10075163841247559,0.05209231376647949,0.1846628189086914,0.0,849,[394],exhausted,
