dataset,family,status,n,m,upset_simple,upset_naive,upset_ratio,runtime_sec,error
Basketball_temporal/finer1996,Basketball_finer,complete,305,5498,0.8319296836853027,0.20798242092132568,0.004277551081031561,0.6349406242370605,
Basketball_temporal/finer1997,Basketball_finer,complete,305,5628,0.8422555327415466,0.21056388318538666,0.004851901438087225,0.45332765579223633,
Basketball_temporal/finer1998,Basketball_finer,complete,306,5684,0.789250373840332,0.197312593460083,0.00433633616194129,0.5115435123443604,
Basketball_temporal/finer1999,Basketball_finer,complete,310,5788,0.819979190826416,0.204994797706604,0.004905541427433491,0.18200063705444336,
Basketball_temporal/finer2000,Basketball_finer,complete,318,6274,0.8648302555084229,0.2162075638771057,0.004721872042864561,0.14827513694763184,
Basketball_temporal/finer2001,Basketball_finer,complete,318,6116,0.8131795525550842,0.20329488813877106,0.004427267704159021,0.23735332489013672,
Basketball_temporal/finer2002,Basketball_finer,complete,321,6192,0.8590953350067139,0.21477383375167847,0.004509883467108011,0.6190743446350098,
Basketball_temporal/finer2003,Basketball_finer,complete,327,6356,0.8999999761581421,0.22499999403953552,0.004611160606145859,0.17760443687438965,
Basketball_temporal/finer2004,Basketball_finer,complete,326,6316,0.7803320288658142,0.19508300721645355,0.004615833982825279,0.12669992446899414,
Basketball_temporal/finer2005,Basketball_finer,complete,330,6476,0.8596273064613342,0.21490682661533356,0.0047941203229129314,0.18030309677124023,
Basketball_temporal/finer2006,Basketball_finer,complete,334,6680,0.8390596508979797,0.20976491272449493,0.0050199697725474834,0.21637797355651855,
Basketball_temporal/finer2007,Basketball_finer,complete,336,7186,0.8832772374153137,0.22081930935382843,0.0050417352467775345,0.6783783435821533,
Basketball_temporal/finer2008,Basketball_finer,complete,342,7386,0.8500000238418579,0.21250000596046448,0.004868470132350922,0.9129364490509033,
Basketball_temporal/finer2009,Basketball_finer,complete,347,7478,0.8513622879981995,0.21284057199954987,0.00486555602401495,0.8989379405975342,
Basketball_temporal/finer2010,Basketball_finer,complete,347,7538,0.8143200874328613,0.20358002185821533,0.004627464339137077,0.9221744537353516,
Basketball_temporal/finer2011,Basketball_finer,complete,345,7504,0.8532478213310242,0.21331195533275604,0.004643465392291546,0.8909428119659424,
Basketball_temporal/finer2012,Basketball_finer,complete,345,7580,0.8256831765174866,0.20642079412937164,0.004787875805050135,0.8069562911987305,
Basketball_temporal/finer2013,Basketball_finer,complete,347,7616,0.8295904994010925,0.20739762485027313,0.004839139990508556,0.9987664222717285,
Basketball_temporal/finer2014,Basketball_finer,complete,351,7650,0.8504599332809448,0.2126149833202362,0.0041551124304533005,1.1295149326324463,
Dryad_animal_society,Animal,complete,21,193,0.9056603908538818,0.9056603908538818,0.7822694778442383,0.002143383026123047,
FacultyHiringNetworks/Business/Business_FM_Full_,Faculty,complete,113,1787,0.9429211020469666,0.9429211020469666,0.9429211020469666,0.08271026611328125,
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,Faculty,complete,206,1407,0.9033404588699341,0.9033404588699341,0.9033404588699341,0.5841121673583984,
FacultyHiringNetworks/History/History_FM_Full_,Faculty,complete,145,1204,0.9210963249206543,0.9210963249206543,0.9210963249206543,0.1221010684967041,
Football_data_England_Premier_League/England_2009_2010,Football_coarse,complete,20,215,0.9512194991111755,0.23780487477779388,0.5069507956504822,0.004761457443237305,
Football_data_England_Premier_League/England_2010_2011,Football_coarse,complete,20,219,1.2919254302978516,0.3229813575744629,0.6571674346923828,0.0015842914581298828,
Football_data_England_Premier_League/England_2011_2012,Football_coarse,complete,20,226,0.8969696760177612,0.2242424190044403,0.5298089981079102,0.0044634342193603516,
Football_data_England_Premier_League/England_2012_2013,Football_coarse,complete,20,216,0.9411764740943909,0.23529411852359772,0.5469003319740295,0.0014433860778808594,
Football_data_England_Premier_League/England_2013_2014,Football_coarse,complete,20,222,0.8242424130439758,0.20606060326099396,0.5087640285491943,0.004441261291503906,
Football_data_England_Premier_League/England_2014_2015,Football_coarse,complete,20,107,1.1588784456253052,0.2897196114063263,0.7659345269203186,0.0014214515686035156,
Football_data_England_Premier_League/finerEngland_2009_2010,Football_finer,complete,20,380,0.8292682766914368,0.2073170691728592,0.15935778617858887,0.0044400691986083984,
Football_data_England_Premier_League/finerEngland_2010_2011,Football_finer,complete,20,380,1.1925466060638428,0.2981366515159607,0.16897132992744446,0.0014185905456542969,
Football_data_England_Premier_League/finerEngland_2011_2012,Football_finer,complete,20,380,0.9696969985961914,0.24242424964904785,0.1631384640932083,0.004433631896972656,
Football_data_England_Premier_League/finerEngland_2012_2013,Football_finer,complete,20,380,0.9411764740943909,0.23529411852359772,0.1453193724155426,0.001422882080078125,
Football_data_England_Premier_League/finerEngland_2013_2014,Football_finer,complete,20,380,0.8242424130439758,0.20606060326099396,0.19618624448776245,0.004434347152709961,
Football_data_England_Premier_League/finerEngland_2014_2015,Football_finer,complete,20,300,1.1214953660964966,0.28037384152412415,0.33747032284736633,0.0014224052429199219,
Halo2BetaData,Halo,complete,602,5010,0.9997892379760742,0.9997892379760742,0.9670833349227905,0.31551146507263184,
finance,Finance,complete,1315,1729225,1.6348304748535156,0.4087076187133789,0.2571907341480255,0.8981900215148926,
