dataset,family,n,m,canonical_A4,has_SpringRank,has_davidScore,has_SVD_NRS,has_btl,has_PageRank,has_syncRank,has_serialRank,has_rankCentrality,has_DIGRAC,has_ib
Basketball_temporal/2006,Basketball_coarse,334,3695,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2007,Basketball_coarse,336,3974,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2008,Basketball_coarse,342,4051,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2009,Basketball_coarse,347,4155,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2010,Basketball_coarse,347,4133,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2011,Basketball_coarse,345,4086,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2012,Basketball_coarse,345,4126,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2013,Basketball_coarse,347,4153,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2014,Basketball_coarse,351,4196,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1985,Basketball_finer,282,4814,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1986,Basketball_finer,283,4862,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1987,Basketball_finer,290,5088,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1988,Basketball_finer,290,5170,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1989,Basketball_finer,293,5318,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1990,Basketball_finer,292,5350,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1991,Basketball_finer,295,5420,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1992,Basketball_finer,298,5444,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1993,Basketball_finer,298,5160,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1994,Basketball_finer,301,5252,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1995,Basketball_finer,302,5336,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1996,Basketball_finer,305,5498,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1997,Basketball_finer,305,5628,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1998,Basketball_finer,306,5684,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer1999,Basketball_finer,310,5788,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2000,Basketball_finer,318,6274,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2001,Basketball_finer,318,6116,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2002,Basketball_finer,321,6192,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2003,Basketball_finer,327,6356,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2004,Basketball_finer,326,6316,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2005,Basketball_finer,330,6476,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2006,Basketball_finer,334,6680,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2007,Basketball_finer,336,7186,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2008,Basketball_finer,342,7386,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2009,Basketball_finer,347,7478,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2010,Basketball_finer,347,7538,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2011,Basketball_finer,345,7504,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2012,Basketball_finer,345,7580,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2013,Basketball_finer,347,7616,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/finer2014,Basketball_finer,351,7650,True,True,True,True,True,True,True,True,True,True,True
Dryad_animal_society,Animal,21,193,True,True,True,True,True,True,True,True,True,False,False
FacultyHiringNetworks/Business/Business_FM_Full_,Faculty,113,1787,True,True,True,True,True,True,True,True,True,False,False
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,Faculty,206,1407,True,True,True,True,True,True,True,True,True,False,False
FacultyHiringNetworks/History/History_FM_Full_,Faculty,145,1204,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/England_2009_2010,Football_coarse,20,215,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/England_2010_2011,Football_coarse,20,219,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/England_2011_2012,Football_coarse,20,226,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/England_2012_2013,Football_coarse,20,216,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/England_2013_2014,Football_coarse,20,222,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/England_2014_2015,Football_coarse,20,107,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/finerEngland_2009_2010,Football_finer,20,380,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/finerEngland_2010_2011,Football_finer,20,380,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/finerEngland_2011_2012,Football_finer,20,380,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/finerEngland_2012_2013,Football_finer,20,380,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/finerEngland_2013_2014,Football_finer,20,380,True,True,True,True,True,True,True,True,True,False,False
Football_data_England_Premier_League/finerEngland_2014_2015,Football_finer,20,300,True,True,True,True,True,True,True,True,True,False,False
Halo2BetaData,Halo,602,5010,True,True,True,True,True,True,True,True,True,False,False
