dataset,kind,n,m,OURS_main_method,OURS_upset_simple,OURS_upset_naive,OURS_upset_ratio,OURS_runtime_sec,best_non_ours_method,best_non_ours_upset_simple,best_non_ours_runtime_sec,best_gnn_method,best_gnn_upset_simple,best_gnn_runtime_sec
Basketball_temporal/finer1988,basketball_temporal,290,5170,INS3,1.170000,0.290000,0.140000,3.200000,SVD_RS,0.830000,0.010000,ib_proximal_baseline,0.775254,82.659088
Basketball_temporal/finer1989,basketball_temporal,293,5318,INS3,1.160000,0.290000,0.130000,3.380000,btl,0.830000,0.000000,ib_proximal_baseline,0.767020,91.245034
Basketball_temporal/finer1990,basketball_temporal,292,5350,INS3,1.160000,0.290000,0.140000,3.410000,btl,0.820000,0.000000,ib_proximal_baseline,0.788222,34.418943
Basketball_temporal/finer1991,basketball_temporal,295,5420,INS3,1.140000,0.290000,0.140000,3.490000,btl,0.830000,0.000000,ib_proximal_baseline,0.810409,17.871980
Basketball_temporal/finer1992,basketball_temporal,298,5444,INS3,1.110000,0.280000,0.130000,3.520000,btl,0.770000,0.000000,ib_proximal_baseline,0.726452,43.075255
Basketball_temporal/finer1993,basketball_temporal,298,5160,INS3,1.150000,0.290000,0.140000,3.200000,btl,0.780000,0.000000,ib_proximal_baseline,0.753557,21.344971
Basketball_temporal/finer1994,basketball_temporal,301,5252,INS3,1.150000,0.290000,0.140000,3.280000,btl,0.780000,0.000000,ib_proximal_baseline,0.737457,25.704201
Basketball_temporal/finer1995,basketball_temporal,302,5336,INS3,1.190000,0.300000,0.140000,3.390000,btl,0.830000,0.000000,ib_proximal_baseline,0.786561,18.922945
Basketball_temporal/finer1996,basketball_temporal,305,5498,INS3,1.210000,0.300000,0.140000,3.610000,btl,0.880000,0.000000,ib_proximal_baseline,0.805566,85.698557
Basketball_temporal/finer1997,basketball_temporal,305,5628,INS3,1.220000,0.310000,0.150000,3.770000,btl,0.860000,0.000000,ib_proximal_baseline,0.825125,88.550701
Basketball_temporal/finer1998,basketball_temporal,306,5684,INS3,1.200000,0.300000,0.130000,3.840000,btl,0.830000,0.000000,ib_proximal_baseline,0.783593,87.116405
Basketball_temporal/finer1999,basketball_temporal,310,5788,INS3,1.200000,0.300000,0.140000,3.960000,btl,0.860000,0.000000,ib_proximal_baseline,0.809712,31.223773
Basketball_temporal/finer2000,basketball_temporal,318,6274,INS3,1.180000,0.300000,0.150000,4.640000,btl,0.900000,0.000000,ib_proximal_baseline,0.844074,40.914767
Basketball_temporal/finer2001,basketball_temporal,318,6116,INS3,1.200000,0.300000,0.130000,4.370000,btl,0.860000,0.000000,ib_proximal_baseline,0.805272,45.249424
Basketball_temporal/finer2002,basketball_temporal,321,6192,INS3,1.180000,0.290000,0.130000,4.470000,btl,0.890000,0.000000,ib_proximal_baseline,0.868207,45.076950
Basketball_temporal/finer2003,basketball_temporal,327,6356,INS3,1.220000,0.300000,0.140000,4.740000,btl,0.910000,0.000000,ib_proximal_baseline,0.865823,41.956942
Basketball_temporal/finer2004,basketball_temporal,326,6316,INS3,1.210000,0.300000,0.130000,4.670000,btl,0.800000,0.000000,ib_proximal_baseline,0.772286,30.473425
Basketball_temporal/finer2005,basketball_temporal,330,6476,INS3,1.230000,0.310000,0.150000,4.910000,btl,0.880000,0.000000,ib_proximal_baseline,0.842236,61.178332
Basketball_temporal/finer2006,basketball_temporal,334,6680,INS3,1.220000,0.310000,0.140000,5.180000,btl,0.850000,0.000000,ib_proximal_baseline,0.858228,69.664393
Basketball_temporal/finer2007,basketball_temporal,336,7186,INS3,1.230000,0.310000,0.140000,5.940000,btl,0.930000,0.000000,ib_proximal_baseline,0.856004,68.234656
Basketball_temporal/finer2008,basketball_temporal,342,7386,INS3,1.180000,0.300000,0.120000,6.270000,btl,0.880000,0.000000,ib_proximal_baseline,0.846739,78.237014
Basketball_temporal/finer2009,basketball_temporal,347,7478,INS3,1.220000,0.310000,0.140000,6.430000,btl,0.900000,0.000000,ib_proximal_baseline,0.836148,56.139581
Basketball_temporal/finer2010,basketball_temporal,347,7538,INS3,1.200000,0.300000,0.140000,6.490000,btl,0.840000,0.000000,ib_proximal_baseline,0.815389,75.520259
Basketball_temporal/finer2011,basketball_temporal,345,7504,INS3,1.250000,0.310000,0.140000,6.450000,btl,0.870000,0.000000,ib_proximal_baseline,0.853248,65.383687
Basketball_temporal/finer2012,basketball_temporal,345,7580,INS3,1.190000,0.300000,0.140000,6.570000,btl,0.830000,0.000000,ib_proximal_baseline,0.804033,48.712567
Basketball_temporal/finer2013,basketball_temporal,347,7616,INS3,1.210000,0.300000,0.140000,6.650000,btl,0.880000,0.000000,ib_proximal_baseline,0.829485,75.046941
Basketball_temporal/finer2014,basketball_temporal,351,7650,INS3,1.210000,0.300000,0.140000,6.700000,btl,0.860000,0.000000,ib_proximal_baseline,0.840999,25.534364
Dryad_animal_society,animal_static,21,193,INS3,0.380000,0.090000,0.400000,0.020000,btl,0.330000,0.000000,DIGRAC_proximal_dist,0.332075,9.521118
FacultyHiringNetworks/Business/Business_FM_Full_,faculty_business,113,1787,INS3,0.360000,0.090000,0.510000,0.110000,SVD_NRS,0.360000,0.110000,DIGRAC_dist,0.356575,12.915879
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,faculty_cs,206,1407,INS3,0.240000,0.060000,0.570000,0.130000,SVD_NRS,0.240000,0.130000,DIGRAC_dist,0.302488,13.790769
FacultyHiringNetworks/History/History_FM_Full_,faculty_history,145,1204,INS3,0.230000,0.060000,0.510000,0.100000,SVD_NRS,0.230000,0.100000,DIGRAC_proximal_dist,0.261794,12.486017
Football_data_England_Premier_League/England_2009_2010,football_temporal,20,215,INS3,0.630000,0.160000,0.490000,0.020000,SVD_NRS,0.630000,0.020000,ib_proximal_baseline,0.641463,3.306416
Football_data_England_Premier_League/England_2010_2011,football_temporal,20,219,INS3,0.990000,0.250000,0.660000,0.020000,SVD_NRS,1.020000,0.020000,ib_proximal_dist,0.920497,5.051110
Football_data_England_Premier_League/England_2011_2012,football_temporal,20,226,INS3,0.850000,0.210000,0.560000,0.020000,SVD_RS,0.850000,0.000000,ib_proximal_baseline,0.800000,5.029060
Football_data_England_Premier_League/England_2012_2013,football_temporal,20,216,INS3,0.890000,0.220000,0.600000,0.020000,SVD_RS,0.860000,0.000000,DIGRAC_dist,0.776471,6.654170
Football_data_England_Premier_League/England_2013_2014,football_temporal,20,222,INS3,0.650000,0.160000,0.530000,0.020000,SVD_NRS,0.650000,0.020000,DIGRAC_dist,0.584242,5.474662
Football_data_England_Premier_League/England_2014_2015,football_temporal,20,107,INS3,0.930000,0.230000,0.750000,0.010000,SVD_NRS,0.930000,0.010000,ib_proximal_dist,0.927103,6.161786
Football_data_England_Premier_League/finerEngland_2009_2010,football_temporal,20,380,INS3,0.880000,0.220000,0.170000,0.040000,SVD_RS,0.660000,0.000000,DIGRAC_dist,0.653659,7.476830
Football_data_England_Premier_League/finerEngland_2010_2011,football_temporal,20,380,INS3,1.140000,0.290000,0.200000,0.030000,SVD_NRS,1.140000,0.030000,ib_proximal_dist,1.158385,7.713494
Football_data_England_Premier_League/finerEngland_2011_2012,football_temporal,20,380,INS3,0.970000,0.240000,0.210000,0.040000,SVD_RS,0.850000,0.000000,ib_proximal_baseline,0.877576,15.965152
Football_data_England_Premier_League/finerEngland_2012_2013,football_temporal,20,380,INS3,1.120000,0.280000,0.180000,0.040000,SVD_RS,0.860000,0.000000,DIGRAC_dist,0.852288,5.496228
Football_data_England_Premier_League/finerEngland_2013_2014,football_temporal,20,380,INS3,0.920000,0.230000,0.230000,0.030000,btl,0.730000,0.000000,DIGRAC_dist,0.671515,6.941191
Football_data_England_Premier_League/finerEngland_2014_2015,football_temporal,20,300,INS3,1.080000,0.270000,0.360000,0.030000,btl,1.050000,0.000000,DIGRAC_dist,1.050467,6.594662
Halo2BetaData/HeadToHead,headtohead_static,602,5010,INS3,0.880000,0.220000,0.760000,1.080000,SVD_NRS,0.880000,1.070000,ib_dist,0.998103,20.515253
finance,finance_static,1315,1729225,NA,NA,NA,NA,NA,syncRank,1.610000,3.750000,ib_dist,1.000000,3283.161209
