dataset,best_ours_method,best_ours_upset_simple,best_classical_method,best_classical_upset_simple,best_gnn_method,best_gnn_upset_simple
Football_data_England_Premier_League/finerEngland_2009_2010,OURS_MFAS,0.8780487775802612,SVD_NRS,0.6585366129875183,ib,0.9608536577224731
Football_data_England_Premier_League/finerEngland_2010_2011,OURS_MFAS,1.1428571939468384,SVD_NRS,1.1677018404006958,ib,1.2845962715148926
Football_data_England_Premier_League/finerEngland_2011_2012,OURS_MFAS,0.9696969985961914,SVD_NRS,0.8484848737716675,ib,1.1087272787094116
Football_data_England_Premier_League/finerEngland_2012_2013,OURS_MFAS,1.1241830587387085,SVD_NRS,0.8627451062202454,ib,1.05529412150383
Football_data_England_Premier_League/finerEngland_2013_2014,OURS_MFAS,0.9212121367454529,davidScore,0.7272727489471436,ib,1.023393942117691
Football_data_England_Premier_League/finerEngland_2014_2015,OURS_MFAS,1.0841121673583984,davidScore,1.0467289686203003,ib,1.4082242894172667
Halo2BetaData,,,SpringRank,0.9997892379760742,,
Halo2BetaData/HeadToHead,OURS_MFAS,0.8767123222351074,SpringRank,0.9997892379760742,ib,1.1944446754455567
_AUTO/Basketball_temporal__1985adj,OURS_MFAS_INS2,0.6093159914016724,davidScore,0.7519932985305786,,
finance,OURS_MFAS_INS1,1.9968308210372925,serialRank,1.613769292831421,ib,1.3924699568748473
