baseline,metric,scope,family,n,wins,ties,losses,mean_delta,median_delta,ci_lo,ci_hi,ci_excludes_zero
davidScore,upset_naive,per_family,Football_coarse,6,5,1,0,-0.029344546298186,-0.02437177300453186,-0.05170963704586029,-0.009134026865164438,True
davidScore,upset_naive,per_family,Football_finer,6,1,0,5,0.021275887886683147,0.027402073144912706,-0.006803664068380982,0.043650964523355165,False
davidScore,upset_naive,per_family,Halo,1,1,0,0,-0.06996840238571173,-0.06996840238571173,-0.06996840238571173,-0.06996840238571173,True
davidScore,upset_ratio,per_dataset_all,ALL,77,74,0,3,-0.1923939660191536,-0.13085335493087769,-0.22883518231282762,-0.15955368380800086,True
davidScore,upset_ratio,per_family,Animal,1,1,0,0,-0.010441422462463379,-0.010441422462463379,-0.010441422462463379,-0.010441422462463379,True
davidScore,upset_ratio,per_family,Basketball_coarse,30,30,0,0,-0.052193629741668704,-0.05424204468727112,-0.057035293281078335,-0.04713224003712337,True
davidScore,upset_ratio,per_family,Basketball_finer,30,30,0,0,-0.3663805939257145,-0.36383753269910823,-0.3714674411341548,-0.36137518199160695,True
davidScore,upset_ratio,per_family,Faculty,3,1,0,2,0.020708322525024414,0.02324014902114868,-0.016243278980255127,0.05512809753417969,False
davidScore,upset_ratio,per_family,Football_coarse,6,5,0,1,-0.09561643501122792,-0.08031541109085083,-0.15569963057835892,-0.041299278537432364,True
davidScore,upset_ratio,per_family,Football_finer,6,6,0,0,-0.26737337559461594,-0.2723906487226486,-0.31361496448516846,-0.22292446345090866,True
davidScore,upset_ratio,per_family,Halo,1,1,0,0,-0.13085335493087769,-0.13085335493087769,-0.13085335493087769,-0.13085335493087769,True
SVD_NRS,upset_simple,per_dataset_all,ALL,77,40,2,35,0.007051498355803558,-0.024844646453857422,-0.04709839094962392,0.06617496696288702,False
SVD_NRS,upset_simple,per_family,Animal,1,1,0,0,-0.15094339847564703,-0.15094339847564703,-0.15094339847564703,-0.15094339847564703,True
SVD_NRS,upset_simple,per_family,Basketball_coarse,30,30,0,0,-0.24025633732477825,-0.2428807020187378,-0.24939860125382743,-0.23153817325830459,True
SVD_NRS,upset_simple,per_family,Basketball_finer,30,0,0,30,0.29091429710388184,0.2915506660938263,0.2783030651509762,0.30432887037595113,True
